artists,track_name,track_genre,Lyrics
3 Doors Down,Kryptonite,rock,"Well, I took a walk around the world to ease my troubled mind
I left my body lying somewhere in the sands of time
But I watched the world float to the dark side of the moon
I feel there's nothing I can do, yeah


I watched the world float to the dark side of the moon
After all, I knew it had to be something to do with you
I really don't mind what happens now and then
As long as you'll be my friend at the end


If I go crazy then will you still call me Superman?
If I'm alive and well, will you be there a holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite


You called me strong, you called me weak
But still, your secrets I will keep
You took for granted all the times I never let you down
You stumbled in and bumped your head
If not for me, then you'd be dead
I picked you up and put you back on solid ground
You might also like
If I go crazy then will you still call me Superman?
If I'm alive and well, will you be there a holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite




If I go crazy then will you still call me Superman?
If I'm alive and well, will you be there, holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite, yeah
If I go crazy then will you still call me Superman?
If I'm alive and well, will you be there a holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite


Oh, whoa, whoa
Oh, whoa, whoa
Oh, whoa, whoa"
American Authors,Best Day Of My Life,rock,"(Woo, oh-oh, oh-oh, oh)


I had a dream so big and loud
I jumped so high, I touched the clouds
Woah-oh-oh-oh-oh, oh, oh (Woah-oh-oh-oh-oh, oh, oh)
I stretched my hands out to the sky
We danced with monsters through the night
Woah-oh-oh-oh-oh, oh, oh (Woah-oh-oh-oh-oh, oh, oh)


I'm never gonna look back, woah
I'm never gonna give it up, no
Please don't wake me now
(Two, three, four)


(Woo, oh-oh, oh-oh, oh) This is gonna be the best day of my life
(Woo, oh-oh, oh-oh, oh) My li-i-i-i-i-i-ife
(Woo, oh-oh, oh-oh, oh) This is gonna be the best day of my life
(Woo, oh-oh, oh-oh, oh) My li-i-i-i-i-i-ife


(Woo, oh-oh, oh-oh, oh)
(Woo, oh-oh, oh-oh, oh)
You might also like
I howled at the moon with friends
And then the sun came crashing in
Woah-oh-oh-oh-oh, oh, oh (Woah-oh-oh-oh-oh, oh, oh)
But all the possibilities
No limits, just epiphanies
Woah-oh-oh-oh-oh, oh, oh (Woah-oh-oh-oh-oh, oh, oh)


I'm never gonna look back, woah
I'm never gonna give it up, no
Just don't wake me now


(Woo, oh-oh, oh-oh, oh) This is gonna be the best day of my life
(Woo, oh-oh, oh-oh, oh) My li-i-i-i-i-i-ife
(Woo, oh-oh, oh-oh, oh) This is gonna be the best day of my life
(Woo, oh-oh, oh-oh, oh) My li-i-i-i-i-i-ife


(Woo, oh-oh, oh-oh, oh)
(Woo, oh-oh, oh-oh, oh)


I hear it calling outside my window
I feel it in my soul (Soul)
The stars were burning so bright
The sun was out 'til midnight
I say we lose control (Control)

(Woo, oh-oh, oh-oh, oh)


(Woo, oh-oh, oh-oh, oh) This is gonna be the best day of my life
(Woo, oh-oh, oh-oh, oh) My li-i-i-i-i-i-ife
(Woo, oh-oh, oh-oh, oh) This is gonna be the best day of my life
(Woo, oh-oh, oh-oh, oh) My li-i-i-i-i-i-ife


(Woo, oh-oh, oh-oh, oh) This is gonna be, this is gonna be, this is gonna be
The best day of my life (Woo, oh-oh, oh-oh, oh)
Everything is lookin' up, everybody up now
(Woo, oh-oh, oh-oh, oh) This is gonna be the best day of my life
(Woo, oh-oh, oh-oh, oh) My li-i-i-i-i-i-ife"
Arctic Monkeys,Perfect Sense,rock,"Richard of York, the Executive Branch
Having some fun with the warm-up act
If that's what it takes to say goodnight
Then that's what it takes


A four-figure sum on a hotel notepad
A revelation or your money back
That's what it takes to say goodnight
Sometimes, I wrap my head around it all
And it makes perfect sense


Keep remindin' me that it ain't a race
When my invincible streak turns onto the final straight
If that's what it takes to say goodnight
Then that's what it takesYou might also like"
The Black Keys,Keep My Name Outta Your Mouth,rock,"Cry to myself and hanging 'round
This old vessel that is, is running 'round
I seem to recall feeling serene
My hand on the hip of a, a beautiful being
And light in my eye and love in my heart
It went away, you tore it apart


Just a-hoping you fall six feet south
Keep my name out of your mouth


She wrote back and I got down
I didn't want no, nobody 'round
Now that you've had your fun
You got all yours dropping guns
And now I disappear, I always did
Held them near my coffin lair


Just a-hoping you fall six feet south
Keep my name out of your mouth, yeah
Your mouth, yeahSee The Black Keys LiveGet tickets as low as $70You might also like"
AJR,World's Smallest Violin,rock,"My grandpa fought in World War II
He was such a noble dude
I can't even finish school
Missed my mom and left too soon
His dad was a fireman
Who fought fires so violent
I think I bored my therapist
While playing him my violin


(Oh my god) That's so insane
(Oh my god) That's such a shame
Next to them, my shit don't feel so grand
But I can't help myself from feeling bad
I kinda feel like two things can be sad (One, two, three, four)


The world's smallest violin
Really needs an audience
So if I do not find somebody soon (That's right, that's right)
I'll blow up into smithereens
And spew my tiny symphony
Just let me play my violin for you, you, you, you

See AJR LiveGet tickets as low as $28You might also like
My grandpa fought in World War II
And he was such a noble dude
Man, I feel like such a fool
I got so much left to prove
All my friends have vaping friends
They'rе so good at making friends
I'm so scared of caving in
Is that entеrtaining yet?


(Oh my god) That's so insane
(Oh my god) That's such a shame
Next to them, my shit don't feel so grand
But I can't help myself from feeling bad
I kinda feel like two things can be sad (One, two, three, four)


The world's smallest violin
Really needs an audience
So if I do not find somebody soon (That's right, that's right)
I'll blow up into smithereens
And spew my tiny symphony
Just let me play my violin for you, you, you, you



Somewhere in the universe
Somewhere someone's got it worse
Wish that made it easier
Wish I didn't feel the hurt


The world's smallest violin
Really needs an audience
So if I do not find somebody soon


I'll blow up into smithereens
And spew my tiny symphony
All up and down a city street
While tryna put my mind at ease
Like finishing this melody
This feels like a necessity
So this could be the death of me
Or maybe just a better me
Now, come in with the timpanis
And take a shot of Hennessy
I know I'm not there mentally
But you could be the remedy
So let me play my violin for you"
Radiohead,No Surprises,rock,"A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal
You look so tired, unhappy
Bring down the government
They don't, they don't speak for us
I'll take a quiet life
A handshake of carbon monoxide


And no alarms and no surprises
No alarms and no surprises
No alarms and no surprises
Silent, silent


This is my final fit
My final bellyache with


No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please


Such a pretty house
And such a pretty garden
You might also like
No alarms and no surprises
(Get me out of here)
No alarms and no surprises
(Get me out of here)
No alarms and no surprises, please
(Get me out of here)"
Jon Pardi,Fill 'Er Up,rock,"Fill 'er up again, I need another round
Yeah, I'm cuttin' loose 'cause I'm all wound up
And I, I wanna knock 'em down
So fill 'er up again


I'm talkin' ice cold and a hundred proof
Like an old jukebox needle, I'm gettin' in my groove
I'm gonna need a whole lot more
'Fore the night is through


So fill 'er up again, I need another round
Yeah, I'm cuttin' loose 'cause I'm all wound up
And I, I wanna knock 'em down
So let it rain and drop that twang
That heartbroke, gettin' over, gonna have a good time with all my rowdy friends
So fill 'er up again


Lots of pretty girls in here from wall to wall
Tryin' to get me tequila bound with that lime and salt
But when the beat finds my boots
I'm gonna dance with them all
See Jon Pardi LiveGet tickets as low as $58You might also like
So fill 'er up again, I need another round
Yeah, I'm cuttin' loose 'cause I'm all wound up
And I, I wanna knock 'em down
So let it rain and drop that twang
Yeah, might be up all night chasin' that good time with all my rowdy friends
But until then, fill 'er up again
Fill 'er up again
Fill 'er up again
Fill 'er up again


Thank ya!"
Skillet,Surviving the Game,rock,"To be more than a conqueror
You have to learn to enjoy the pain
If you want to survive the game


You can try to defeat me (Beat me)
You don't know it's the pain that'll feed me (Feed me)
And I'm gonna take back what you took me for (For)
'Cause I was born for this
All the bones that you're breakin' (Breakin')
You pretend that you're the one that can save me (Save me)
Now I'm takin' it back, it was never yours (Never yours)
I'm fightin'


Fightin' for my focus
Give the pain a purpose
Light the fire inside
Feel it come alive (Come alive)
Show 'em what I'm made of
Victories for the brave ones
Who never bowed a knee
When it's do or die (Do or die-ie-ie)
One more time
See Skillet LiveGet tickets as low as $41You might also like
Survivin' the game
I can be unstoppable
Gonna walk through Hell
Gonna shake the walls
Survive, survivin' the game (Survivin' the game)
Livin' the impossible
I'm the champion, indestructible (Survive)
Survive, 'cause I'm survivin' the game


I can be unstoppable
Gonna be indestructible
I can be unstoppable
Gonna be indestructible


All the liars around me
Like the wolves of the walls, they surround me
In the face of the fear, I keep standin' tall
'Cause I will conquer this
I come out like a lion (Lion)
I was born to be demon-defiant (Defiant)
And I won't ever let this kingdom fall (Fall)
I'll show 'em

Show 'em what you're made of
Victories for the brave ones
Never bow the knee
'Cause it's do or die (Do or die-ie-ie)
One more time


Survivin' the game
I can be unstoppable
Gonna walk through Hell
Gonna shake the walls
Survive, survivin' the game (Survivin' the game)
Livin' the impossible
I'm the champion, indestructible (Survive)
Survive, 'cause I'm survivin' the game (Game)


I am more than a conqueror
The past behind me, life is ahead
I'll take the way of the warrior
I walk alone, no fear to the death
One more time


Survivin' the game
I can be unstoppable
Gonna walk through Hell
Gonna shake the walls
Survive, survivin' the game (Survivin' the game)
Livin' the impossible
I'm the champion, indestructible (Survive)
Survive, 'cause I'm survivin' the game (Survive)
Survivin' the game (Survive)
Survivin' the game
Livin' the impossible
I'm the champion, indestructible (Survive)
Survive, 'cause I'm survivin' the game (Survive)

I can be unstoppable
Gonna be indestructible
I can be unstoppable
Gonna be indestructible"
Rod Stewart,You Wear It Well,rock,"I had nothing to do on this hot afternoon
But to settle down and write you a line
I've been meaning to phone you but from Minnesota
Hell, it's been a very long time


You wear it well
A little old-fashioned but that's all right


Well, I suppose you're thinking, ""I bet he's sinking
Or he wouldn't get in touch with me""
Oh, I ain't begging or losing my head
I sure do want you to know


That you wear it well
There ain't a lady in the land so fine, oh, my


Remember them basement parties, your brother's karate
The all day rock and roll shows
Them homesick blues and radical views
Haven't left a mark on you

You wear it well
A little out of time but I don't mind


But I ain't forgetting that you were once mine
But I blew it without even tryin'
Now I'm eatin' my heart out
Tryin' to get a letter through


Since you've been gone it's hard to carry on
I'm gonna write about the birthday gown that I bought in town
When you sat down and cried on the stairs
You knew it didn't cost the earth, but for what it's worth
You made me feel a millionaire


And you wear it well
Madame Onassis got nothing on you, no, no


Anyway, my coffee's cold and I'm getting told
That I gotta get back to work
So when the sun goes low and you're home all alone
Think of me and try not to laugh

And I wear it well
I don't object if you call collect


'Cause I ain't forgetting that you were once mine
But I blew it without even tryin'
Now I'm eatin' my heart out
Tryin' to get back to you


I love you, I love you, I love you, I love you
Oh, yeah
After all the years I hope it's the same address
Since you've been gone it's hard to carry onSee Rod Stewart LiveGet tickets as low as $65You might also like"
The Fray,How to Save a Life,rock,"Step one, you say we need to talk
He walks, you say, ""Sit down, it's just a talk""
He smiles politely back at you
You stare politely right on through
Some sort of window to your right
As he goes left and you stay right
Between the lines of fear and blame
You begin to wonder why you came


Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life


Let him know that you know best
'Cause after all, you do know best
Try to slip past his defense
Without granting innocence
Lay down a list of what is wrong
The things you've told him all along
And pray to God He hears you
And I pray to God He hears you, and
See The Fray LiveGet tickets as low as $67You might also like
Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life


As he begins to raise his voice
You lower yours and grant him one last choice
Drive until you lose the road
Or break with the ones you've followed
He will do one of two things
He will admit to everything
Or he'll say he's just not the same
And you'll begin to wonder why you came


Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life
Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

How to save a life
How to save a life


Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life
Where did I go wrong? I lost a friend (Where did I go wrong?)
Somewhere along in the bitterness
And I would have stayed up with you all night (I would have stayed up)
Had I known how to save a life


How to save a life
How to save a life"
